PO#,Material Code,Plant Code,Date,Quantity,Unit of Measure,Cost,Vendor
PO-001,FUEL-DIESEL-100,PLANT-A,2024-01-15,500,L,1250,Shell Global
PO-002,FUEL-DIESEL-100,PLANT-B,2024-01-16,750,L,1875,BP Supply
PO-003,FUEL-PETROL-50,PLANT-A,2024-01-18,250,L,662.50,Texaco
PO-004,FUEL-LPG-200,PLANT-C,2024-01-20,150,kg,450,Propane Co
PO-005,FUEL-DIESEL-100,PLANT-A,2024-01-22,1000,L,2500,Shell Global
PO-006,SUPPLIES-MISC,PLANT-B,2024-01-25,10,units,500,Office Depot
PO-007,FUEL-DIESEL-100,PLANT-C,2024-02-01,600,L,1500,BP Supply
PO-008,FUEL-PETROL-50,PLANT-A,2024-02-03,300,L,795,Texaco
PO-009,FUEL-DIESEL-100,PLANT-B,2024-02-05,550,L,1375,Shell Global
PO-010,FUEL-LPG-200,PLANT-A,2024-02-10,200,kg,600,Propane Co
